ID	X	Y	Z	W	L	H	TX	TY	Type	Color	Behavior	Name
36	100	1100	15	40	20	30	150	1050	3	2	ChargingStation-3	
37	1100	100	15	40	20	30	1050	150	3	2	ChargingStation-4	
38	700	900	25	80	25	50	700	850	2	3	Box-1	
39	600	900	25	80	25	50	600	850	2	3	Box-2	
40	500	900	25	80	25	50	500	850	2	3	Box-3	
41	600	300	15	40	20	30	600	350	3	4	Chair-1	
42	650	300	15	40	20	30	650	350	3	4	Chair-2	
43	900	600	20	60	120	40	820	600	2	6	Bed-1	
44	200	470	150	3	3	3	200	470	1	0	Light-1	
45	1000	20	150	3	3	3	1000	20	1	0	Light-2	
